DOORNUMBER,CARLENGTH,CARWIDTH,CARHEIGHT,CYLINDERNUMBER,ENGINESIZE,COMPRESSINRATIO,HORSEPOWER,PRICE
4,171.7,65.5,55.7,4,109,9,85,8195
4,171.7,65.5,55.7,4,109,9,85,8495
4,171.7,65.5,55.7,4,97,23,68,9495
4,171.7,65.5,55.7,4,109,10,100,9995
2,159.3,64.2,55.6,4,109,8.5,90,11595
2,165.7,64,51.4,4,109,8.5,90,9980
4,180.2,66.9,55.1,5,136,8.5,110,13295
4,180.2,66.9,55.1,4,97,23,68,13845
2,176.2,65.6,52,4,146,9.3,116,11199
2,176.2,65.6,52,4,146,9.3,116,11549
2,176.2,65.6,53,4,146,9.3,116,17669
4,175.6,66.5,54.9,4,122,8.7,92,8948
4,175.6,66.5,54.9,4,110,22.5,73,10698
4,175.6,66.5,53.9,4,122,8.7,92,9988
4,175.6,66.5,54.9,4,122,8.7,92,10898
4,175.6,66.5,53.9,4,122,8.7,92,11248
2,183.5,67.7,52,6,171,9.3,161,16558
2,183.5,67.7,52,6,171,9.3,161,15998
4,158.8,63.6,52,4,90,9.6,70,6575
2,157.3,63.8,50.8,4,90,9.41,68,5572
2,157.3,63.8,50.8,4,90,9.4,68,6377
2,157.3,63.8,50.8,4,98,7.6,102,7957
4,157.3,63.8,50.6,4,90,9.4,68,6229
4,157.3,63.8,50.6,4,90,9.4,68,6692
4,157.3,63.8,50.6,4,90,9.4,68,7609
2,157.3,63.8,50.6,4,98,7.6,102,8558
4,174.6,64.6,59.8,4,122,8.5,88,8921
2,173.2,66.3,50.2,4,156,7,145,12964
2,144.6,63.9,50.8,4,92,9.6,58,6479
2,144.6,63.9,50.8,4,92,9.2,76,6855
2,150,64,52.6,4,79,10.1,60,5399
2,150,64,52.6,4,92,9.2,76,6529
2,150,64,52.6,4,92,9.2,76,7129
4,163.4,64,54.5,4,92,9.2,76,7295
4,157.1,63.9,58.3,4,92,9.2,76,7295
2,167.5,65.2,53.3,4,110,9,86,7895
2,167.5,65.2,53.3,4,110,9,86,9095
4,175.4,65.2,54.1,4,110,9,86,8845
2,159.1,64.2,54.1,4,91,9,68,5195
2,159.1,64.2,54.1,4,91,9,68,6095
2,159.1,64.2,54.1,4,91,9,68,6795
4,166.8,64.2,54.1,4,91,9,68,6695
4,166.8,64.2,54.1,4,91,9,68,7395
2,169,65.7,49.6,2,70,9.4,101,10945
2,169,65.7,49.6,2,70,9.4,101,11845
2,169,65.7,49.6,2,70,9.4,101,13645
2,169,65.7,49.6,2,80,9.4,135,15645
2,177.8,66.5,53.7,4,122,8.6,84,8845
